Ari Graynor,{'The Sopranos': 'Caitlin Rucker'}
Michael Rispoli,{'The Sopranos': 'Jackie Aprile'}
John Costelloe,{'The Sopranos': 'Jim Witowski'}
Edoardo Ballerini,{'The Sopranos': 'Corky Caporale'}
Will McCormack,{'The Sopranos': 'Jason La Penna'}
Frank Albanese,"{'The Sopranos': 'Uncle Pat', 'Goodfellas': 'Mob Lawyer'}"
Turk Pipkin,{'The Sopranos': 'Aaron Arkaway'}
Cameron Boyd,{'The Sopranos': 'Matt Testa'}
Jessica Dunphy,{'The Sopranos': 'Devin Pillsbury'}
Michael Drayer,{'The Sopranos': 'Jason Parisi'}
Emily Wickersham,{'The Sopranos': 'Rhiannon'}
Ron Castellano,{'The Sopranos': 'Terry Doria'}
Lou Martini Jr.,{'The Sopranos': 'Anthony Infante'}
Tim Daly,{'The Sopranos': 'J.T. Dolan'}
Gary Evans,{'The Sopranos': 'FBI Tech #1'}
Vincent J. Orofino,{'The Sopranos': 'Brian Spatafore'}
Anthony DeSando,{'The Sopranos': 'Brendan Filone'}
Lexie Sperduto,{'The Sopranos': 'Sophia Baccalieri'}
Sig Libowitz,{'The Sopranos': 'Hillel'}
Tony Siragusa,{'The Sopranos': 'Frankie Cortese'}
Dennis Aloia,{'The Sopranos': 'Justin Blundetto'}
Kevin Aloia,{'The Sopranos': 'Jason Blundetto'}
Anna Mancini,{'The Sopranos': 'Donna Parisi'}
Michele Santopietro,{'The Sopranos': 'JoJo Palmice'}
Louis Mustillo,"{'The Sopranos': ""Salvatore 'Sal' Vitro""}"
Kobi George,{'The Sopranos': 'Hector Selgado'}
Kadin George,{'The Sopranos': 'Hector Selgado'}
Vinny Vella,{'The Sopranos': 'Jimmy Petrille'}
David Strathairn,{'The Sopranos': 'Robert Wegler'}
Richard Romanus,{'The Sopranos': 'Richard La Penna'}
Ron Leibman,{'The Sopranos': 'Dr. Lior Plepler'}
Joe Lisi,{'The Sopranos': 'Dick Barone'}
Matthew Sussman,{'The Sopranos': 'Dr. Schreck'}
Sal Ruffino,{'The Sopranos': 'Chucky Signore'}
Robert Desiderio,{'The Sopranos': 'Jack Massarone'}
Patti D'Arbanville,{'The Sopranos': 'Lorraine Calluzzo'}
Gregory Alan Williams,{'The Sopranos': 'Reverend James Jr.'}
Manon Halliburton,{'The Sopranos': 'Lois Pettit'}
Rocco Sisto,{'The Sopranos': 'Young Junior Soprano'}
Nick E. Tarabay,{'The Sopranos': 'Matush'}
Murielle Arden,{'The Sopranos': 'Elodi Colbert'}
Vincent Piazza,"{'The Sopranos': ""Hernan O'Brien""}"
Elena Solovey,{'The Sopranos': 'Branca Libinsk'}
Michael Countryman,{'The Sopranos': 'Dr. Richard Vogel'}
Patrick Tully,{'The Sopranos': 'Noah Tannenbaum'}
Heidi Dippold,{'The Sopranos': 'Janelle Cammarata'}
Caitlin Van Zandt,{'The Sopranos': 'Allegra Sacrimoni'}
Cristin Milioti,{'The Sopranos': 'Catherine Sacrimoni'}
Dominic Chianese Jr.,{'The Sopranos': 'Dominic'}
Daniel P. Conte,"{'The Sopranos': ""Faustino 'Doc' Santoro"", 'Goodfellas': 'Dr. Dan'}"
Val Bisoglio,{'The Sopranos': 'Murf'}
Sylvia Kauders,{'The Sopranos': 'Mrs. Conte'}
Tone Christensen,{'The Sopranos': 'Miss Reykjavik'}
Candy Trabuco,{'The Sopranos': 'Miss Giaculo'}
Glenn Kessler,{'The Sopranos': 'FBI Tech #2'}
Donna Smythe,{'The Sopranos': 'Gia Gaeta'}
Robert Patrick,{'The Sopranos': 'David Scatino'}
Stink Fisher,{'The Sopranos': 'Warren'}
Mark Karafin,{'The Sopranos': 'Egon Kosma'}
Tracey Silver,{'The Sopranos': 'Beth Kaplan'}
Marie Donato,{'The Sopranos': '2 to 5'}
Terence Winter,{'The Sopranos': 'Tom Amberson'}
Ralph Lucarelli,{'The Sopranos': 'Cozzarelli'}
Frank Fortunato,{'The Sopranos': 'Jason Evanina'}
Matt Pepper,{'The Sopranos': 'Agent Ron Gosling'}
Danny Petrillo,{'The Sopranos': 'Teenage Tony Soprano'}
Jalil Jay Lynch,{'The Sopranos': 'Incident Biker'}
Sofia Milos,{'The Sopranos': 'Annalisa'}
Joe Penny,{'The Sopranos': 'Victor Musto'}
Henry O,{'The Sopranos': 'Monk #1'}
Johann Carlo,{'The Sopranos': 'Bonnie DiCaprio'}
Vitali Baganov,{'The Sopranos': 'Valery'}
Frank Ciornei,{'The Sopranos': 'Slava Malevsky'}
Daniel Baldwin,{'The Sopranos': 'Daniel Baldwin'}
Marissa Matrone,{'The Sopranos': 'Ronnie Capozza'}
Phil Coccioletti,{'The Sopranos': 'Eric'}
Marisa Redanty,{'The Sopranos': 'Christine Scatino'}
Jonathan LaPaglia,{'The Sopranos': 'Jonathan LaPaglia'}
Ed Crasnick,{'The Sopranos': 'Comedian'}
Ho Chow,{'The Sopranos': 'Monk #2'}
Laila Robins,{'The Sopranos': 'Young Livia Soprano'}
